ZIP code,Adjusted gross income (AGI),year
13035,339402,2011
13036,193515,2011
13037,221984,2011
13039,544021,2011
13040,48558,2011
13041,302920,2011
13042,44861,2011
13044,59790,2011
13045,517551,2011
13052,37713,2011
13053,114268,2011
13054,29375,2011
13057,385879,2011
13060,70241,2011
13061,24348,2011
13063,50863,2011
13066,749316,2011
13068,120980,2011
13069,460082,2011
13071,22046,2011
13072,13466,2011
13073,140833,2011
13074,77157,2011
13076,50229,2011
13077,153973,2011
13078,461534,2011
13080,84557,2011
13081,28815,2011
13082,107986,2011
13083,35956,2011
13084,136505,2011
13088,586360,2011
13090,854473,2011
13092,53388,2011
13101,49500,2011
13103,4719,2011
13104,859857,2011
13108,196343,2011
13110,65478,2011
13111,26779,2011
13112,46243,2011
13114,137024,2011
13116,88205,2011
13118,110924,2011
13120,45234,2011
13122,28380,2011
13126,705481,2011
13131,74488,2011
13132,91800,2011
13135,149640,2011
13136,6629,2011
13140,77230,2011
13141,14156,2011
13142,127386,2011
13143,49179,2011
13144,20027,2011
13145,35698,2011
13146,37441,2011
13147,27183,2011
13148,233814,2011
13152,420917,2011
13155,10503,2011
13156,36279,2011
13158,26365,2011
13159,162162,2011
13160,48328,2011
13164,69454,2011
13165,206166,2011
13166,120101,2011
13167,76786,2011
13202,58643,2011
13203,235726,2011
13204,218185,2011
13205,225585,2011
13206,303219,2011
13207,236387,2011
13208,263396,2011
13209,289057,2011
13210,242711,2011
13211,109931,2011
13212,484243,2011
13214,236718,2011
13215,532820,2011
13219,424643,2011
13224,264347,2011
13302,23598,2011
13303,29882,2011
13304,56427,2011
13308,62116,2011
13309,112564,2011
13310,12184,2011
13314,8922,2011
13315,24755,2011
13316,121620,2011
13317,72238,2011
13318,25775,2011
13319,17256,2011
13320,38126,2011
13322,26677,2011
13323,316659,2011
13324,37387,2011
13325,15498,2011
13326,180254,2011
13327,38589,2011
13328,26618,2011
13329,61017,2011
13331,7675,2011
13332,44745,2011
13334,21727,2011
13335,30704,2011
13337,26134,2011
13338,25170,2011
13339,97515,2011
13340,159972,2011
13343,34316,2011
13346,123894,2011
13348,27947,2011
13350,157453,2011
13354,84059,2011
13355,14763,2011
13357,197066,2011
13360,10177,2011
13361,10006,2011
13363,51182,2011
13365,158537,2011
13367,167845,2011
13368,20040,2011
13402,27146,2011
13403,135102,2011
13406,13472,2011
13407,98264,2011
13408,50802,2011
13409,44475,2011
13411,52828,2011
13413,591198,2011
13416,43472,2011
13417,68783,2011
13418,3370,2011
13420,40721,2011
13421,292034,2011
13424,53802,2011
13425,36971,2011
13428,25560,2011
13431,42749,2011
13433,23003,2011
13437,8239,2011
13438,78636,2011
13439,73751,2011
13440,824817,2011
13450,5202,2011
13452,75056,2011
13454,13635,2011
13456,106109,2011
13459,40683,2011
13460,81548,2011
13461,84068,2011
13464,17339,2011
13468,10047,2011
13469,19993,2011
13470,10380,2011
13471,52494,2011
13473,14849,2011
13476,70923,2011
13477,25128,2011
13478,65389,2011
13480,71349,2011
13483,4682,2011
13485,15753,2011
13486,20544,2011
13488,4827,2011
13489,11923,2011
13490,32778,2011
13491,72523,2011
13492,324779,2011
13493,32916,2011
13494,6667,2011
13495,41752,2011
13501,530623,2011
13502,538050,2011
13601,729006,2011
13603,102410,2011
13605,91831,2011
13606,59752,2011
13607,51243,2011
13608,25323,2011
13612,60120,2011
13613,42612,2011
13614,3944,2011
13616,28644,2011
13617,197592,2011
13618,43410,2011
13619,186087,2011
13620,34731,2011
13621,11573,2011
13622,51842,2011
13624,109005,2011
13625,43579,2011
13626,41072,2011
13630,21056,2011
13634,92891,2011
13635,14733,2011
13636,6275,2011
13637,75039,2011
13638,6504,2011
13640,16461,2011
13642,140768,2011
13646,35184,2011
13648,41144,2011
13650,27572,2011
13652,26664,2011
13654,35212,2011
13655,44010,2011
13656,44247,2011
13658,44798,2011
13659,10604,2011
13660,34375,2011
13661,28789,2011
13662,326871,2011
13664,12855,2011
13665,15332,2011
13667,55468,2011
13668,66557,2011
13669,297356,2011
13670,4833,2011
13672,14417,2011
13673,41141,2011
13676,247029,2011
13679,36954,2011
13680,18639,2011
13681,13325,2011
13682,20760,2011
13684,20207,2011
13685,68834,2011
13687,11627,2011
13690,15264,2011
13691,54917,2011
13693,12643,2011
13694,39081,2011
13696,4520,2011
13697,35841,2011
13730,50161,2011
13731,28647,2011
13732,223789,2011
13733,98226,2011
13734,40354,2011
13736,46946,2011
13739,17289,2011
13740,11893,2011
13743,77698,2011
13744,24034,2011
13746,58310,2011
13748,83496,2011
13750,17885,2011
13751,5053,2011
13752,15025,2011
13753,91087,2011
13754,54701,2011
13755,22509,2011
13756,8644,2011
13757,18655,2011
13760,1085622,2011
13775,33499,2011
13776,14819,2011
13777,16732,2011
13778,128085,2011
13780,22025,2011
13782,12441,2011
13783,39545,2011
13786,7245,2011
13787,59329,2011
13788,18887,2011
13790,340757,2011
13795,76921,2011
13796,24845,2011
13797,36642,2011
13801,18565,2011
13802,20023,2011
13803,74686,2011
13804,8410,2011
13806,4055,2011
13807,27044,2011
13808,33072,2011
13809,28403,2011
13810,20666,2011
13811,90009,2011
13812,44399,2011
13813,16924,2011
13815,307154,2011
13820,365898,2011
13825,67027,2011
13827,285521,2011
13830,88661,2011
13832,9560,2011
13833,88349,2011
13835,25148,2011
13838,81294,2011
13839,25205,2011
13841,8412,2011
13842,10520,2011
13843,28970,2011
13844,12178,2011
13846,6918,2011
13849,93305,2011
13850,686781,2011
13856,113654,2011
13861,15544,2011
13862,82036,2011
13863,7471,2011
13864,20642,2011
13865,125302,2011
13901,393987,2011
13903,434604,2011
13904,178268,2011
13905,484379,2011
14001,239894,2011
14004,275989,2011
14005,41178,2011
14006,219513,2011
14008,32309,2011
14009,114028,2011
14011,134668,2011
14012,46972,2011
14013,29107,2011
14020,445897,2011
14024,30932,2011
14025,88845,2011
14026,19781,2011
14028,34786,2011
14030,31278,2011
14031,473917,2011
14032,373298,2011
14033,74768,2011
14034,38508,2011
14036,110677,2011
14037,32704,2011
14040,52979,2011
14041,4166,2011
14042,65154,2011
14043,580462,2011
14047,167870,2011
14048,245750,2011
14051,974466,2011
14052,682423,2011
14054,29648,2011
14055,35522,2011
14057,230662,2011
14058,53523,2011
14059,323450,2011
14060,7081,2011
14062,69935,2011
14063,266532,2011
14065,30321,2011
14066,19284,2011
14067,111127,2011
14068,275812,2011
14069,23915,2011
14070,103956,2011
14072,720430,2011
14075,1270936,2011
14080,115853,2011
14081,56562,2011
14082,10369,2011
14085,254793,2011
14086,1012037,2011
14091,26545,2011
14092,393224,2011
14094,1157058,2011
14098,59628,2011
14101,31731,2011
14102,37964,2011
14103,205238,2011
14105,97162,2011
14108,126185,2011
14111,75695,2011
14113,17025,2011
14120,1127664,2011
14125,74649,2011
14127,1364157,2011
14129,27371,2011
14131,125025,2011
14132,136496,2011
14134,6842,2011
14136,101698,2011
14138,33769,2011
14139,65824,2011
14141,181086,2011
14143,32349,2011
14145,35960,2011
14150,965760,2011
14167,36626,2011
14170,74057,2011
14171,43324,2011
14172,84647,2011
14174,202308,2011
14201,148226,2011
14202,240282,2011
14203,38201,2011
14204,87075,2011
14206,295374,2011
14207,234901,2011
14208,95740,2011
14209,221542,2011
14210,192383,2011
14211,202171,2011
14212,112564,2011
14213,219774,2011
14214,361742,2011
14215,489143,2011
14216,558181,2011
14217,546185,2011
14218,305770,2011
14219,242085,2011
14220,465612,2011
14221,2268754,2011
14222,405575,2011
14223,594714,2011
14224,1065147,2011
14225,689778,2011
14226,1020393,2011
14227,526303,2011
14228,518095,2011
14301,136871,2011
14303,66249,2011
14304,640852,2011
14305,264914,2011
14411,227720,2011
14414,177981,2011
14416,89127,2011
14418,25445,2011
14420,387132,2011
14422,57899,2011
14423,116944,2011
14424,748524,2011
14425,276744,2011
14427,42852,2011
14428,234623,2011
14432,116083,2011
14433,80111,2011
14435,81584,2011
14437,190603,2011
14441,7564,2011
14445,167171,2011
14450,1659903,2011
14454,175015,2011
14456,388911,2011
14462,14345,2011
14464,162924,2011
14466,41793,2011
14467,243445,2011
14468,507825,2011
14469,152851,2011
14470,160178,2011
14471,70351,2011
14472,403389,2011
14475,10664,2011
14476,50360,2011
14477,35604,2011
14478,25937,2011
14480,19085,2011
14481,41919,2011
14482,193098,2011
14485,98938,2011
14486,7541,2011
14487,154421,2011
14489,127292,2011
14502,295651,2011
14504,32890,2011
14505,120022,2011
14506,63380,2011
14507,28487,2011
14510,86957,2011
14512,114559,2011
14513,268416,2011
14514,153677,2011
14516,48709,2011
14517,56083,2011
14519,327928,2011
14521,53785,2011
14522,202152,2011
14525,59919,2011
14526,783542,2011
14527,259234,2011
14530,107216,2011
14532,103998,2011
14533,34516,2011
14534,2282066,2011
14536,12619,2011
14541,50929,2011
14543,114602,2011
14544,42480,2011
14546,129598,2011
14548,83417,2011
14550,34262,2011
14551,102954,2011
14555,28590,2011
14559,520032,2011
14560,47386,2011
14561,58840,2011
14564,708352,2011
14568,169485,2011
14569,126580,2011
14571,26067,2011
14572,93260,2011
14580,1756847,2011
14585,5759,2011
14586,270428,2011
14589,177364,2011
14590,95385,2011
14591,36395,2011
14604,43771,2011
14605,81077,2011
14606,462821,2011
14607,331136,2011
14608,125520,2011
14609,708390,2011
14610,717501,2011
14611,154657,2011
14612,907413,2011
14613,145252,2011
14614,11573,2011
14615,275627,2011
14616,597424,2011
14617,671820,2011
14618,1081275,2011
14619,211069,2011
14620,468556,2011
14621,290316,2011
14622,313421,2011
14623,396132,2011
14624,978637,2011
14625,391883,2011
14626,813771,2011
14701,632426,2011
14706,151280,2011
14709,25691,2011
14710,76690,2011
14711,28566,2011
14712,95502,2011
14714,6089,2011
14715,43076,2011
14716,35823,2011
14717,9989,2011
14718,41897,2011
14719,55253,2011
14721,3481,2011
14723,22135,2011
14724,40712,2011
14726,13361,2011
14727,110149,2011
14728,21490,2011
14729,17273,2011
14731,47375,2011
14733,67294,2011
14735,39556,2011
14736,11053,2011
14737,66119,2011
14738,70857,2011
14739,37893,2011
14740,21238,2011
14741,35057,2011
14743,32639,2011
14744,19056,2011
14747,37255,2011
14748,10480,2011
14750,140141,2011
14753,19449,2011
14754,10415,2011
14755,47535,2011
14757,65389,2011
14760,361085,2011
14767,26610,2011
14769,15838,2011
14770,59433,2011
14772,68504,2011
14775,41165,2011
14777,11203,2011
14779,101461,2011
14781,35014,2011
14782,38735,2011
14784,15444,2011
14787,96117,2011
14801,91111,2011
14802,20160,2011
14803,24341,2011
14804,30164,2011
14805,23318,2011
14806,41059,2011
14807,60745,2011
14808,9316,2011
14809,42856,2011
14810,208285,2011
14812,66873,2011
14813,40996,2011
14814,68713,2011
14815,17557,2011
14816,14537,2011
14817,55266,2011
14818,43417,2011
14819,9815,2011
14820,11682,2011
14821,69077,2011
14822,19726,2011
14823,68518,2011
14824,13226,2011
14825,17418,2011
14826,38480,2011
14830,603204,2011
14836,20503,2011
14837,85484,2011
14838,39414,2011
14839,12068,2011
14840,88128,2011
14841,25003,2011
14842,18710,2011
14843,222422,2011
14845,590922,2011
14846,12051,2011
14847,49811,2011
14850,1501305,2011
14853,5773,2011
14855,13063,2011
14858,34945,2011
14859,20489,2011
14860,21663,2011
14861,26336,2011
14864,21710,2011
14865,52999,2011
14867,111981,2011
14869,26256,2011
14870,321060,2011
14871,125774,2011
